,AGE,SEX,EDUC,INCOME,KIDHOME,TEENHOME,GOURMAGS,WINEMAGS,STYLMAGS,HOUSMAGS,SPRTMAGS,TRAVMAGS,CULTMAGS,COMPMAGS,FIRSTPUR,LASTPUR,NPURCH,TBOTTLES,TOTCAT,TOTCREV,TOTCCOST,TOTCPROF,REV1STYR,REVLSTYR,COSTLAST,LTV,PROBSTAY,AVGPURCH,AVGDISC,AVGQUAL,PCTWEB,PERCDR,PERCSR,PERCDW,PERCSW,PERCDE,PERCEX,TOTLCOMP,TOTWCOMP,TOTPCOMM,FACEBOOK
AGE,,0.00261852,0.004007868,0.71089979,-0.646688702,-0.21980261,0.41097549,0.221584876,0.362207491,0.267591587,0.179581108,0.365940572,0.129953071,-0.068861012,7.05E-05,-0.351984714,0.348549236,0.35997414,-0.000429713,0.338034818,0.341327931,0.26928308,0.337387029,0.382945951,0.385050115,0.30324539,0.249072945,0.547741422,-0.374627787,0.329251387,-0.119975986,-0.034101373,0.094688878,0.088677783,-0.100477574,-0.014312382,0.10933723,0.105599456,0.114501355,0.041707317,-0.115318342
SEX,0.00261852,,-0.000183585,0.001138127,0.002303122,-0.003634626,0.002183658,-0.001290855,0.435965876,0.390781202,-0.252918841,-0.002092466,-0.001243096,-0.000580284,0.004308326,-0.004335338,0.007123378,0.008096949,0.003680439,0.004436089,0.005879203,-0.002391443,0.004981491,0.006565985,0.007735576,-0.000347137,0.007544372,0.001119162,0.00250478,0.006218356,0.000960478,-0.005965116,0.005610425,0.006304594,-0.002652702,0.001293985,0.00640033,0.002032086,-0.000673656,0.008250938,0.00481023
EDUC,0.004007868,-0.000183585,,0.002187473,0.007665237,-0.005426494,0.137069338,0.310529687,-0.000257998,0.000695814,0.002854896,0.28225379,0.477551338,0.212264959,-0.003044175,-0.003063714,-0.010026782,-0.009164025,-0.003763929,-0.007900309,-0.010923968,0.0061789,-0.007827376,-0.003659966,-0.002373661,-0.008214599,0.003789194,-0.008945282,0.005299655,-0.01106984,0.387638896,0.002287309,-0.008158555,0.001824033,0.003581811,0.001768443,-0.006638095,0.106542474,0.100368487,-0.013074108,0.004055911
INCOME,0.71089979,0.001138127,0.002187473,,-0.47981016,-0.155058061,0.506764278,0.264021515,0.481213985,0.332192074,0.218947363,0.426142065,0.150099714,0.043459489,-0.007065159,-0.400978023,0.441250941,0.486178756,-0.00762174,0.465026996,0.462820375,0.398961663,0.465195013,0.519545015,0.518955142,0.426318221,0.275370488,0.689209314,-0.436021018,0.388120704,0.078701195,-0.047264153,0.110663015,0.106583669,-0.115206239,-0.00790242,0.137106981,0.133814096,0.142148559,0.030944431,-0.137644851
KIDHOME,-0.646688702,0.002303122,0.007665237,-0.47981016,,0.150782423,-0.342302431,-0.203126921,-0.276748486,-0.235332272,-0.149521497,-0.323108894,-0.10891007,0.039741486,-0.001321864,0.321676676,-0.288074235,-0.281983875,-0.001148396,-0.26355148,-0.26744438,-0.204338762,-0.260242465,-0.297715262,-0.301586798,-0.226384232,-0.227413974,-0.44075311,0.335491551,-0.291136279,0.067427774,0.037588243,-0.088950025,-0.073765889,0.080994393,0.013124922,-0.100115591,-0.091494329,-0.087854051,-0.041995631,0.110674713
TEENHOME,-0.21980261,-0.003634626,-0.005426494,-0.155058061,0.150782423,,-0.217249396,-0.122305099,-0.155992435,-0.155848473,-0.092492374,-0.208223399,-0.070651012,0.011541316,-0.010749642,0.196560021,-0.181086163,-0.181977242,-0.010843126,-0.169169352,-0.171305176,-0.132697946,-0.16456057,-0.189855513,-0.192243516,-0.145486851,-0.149729427,-0.278194485,0.218167926,-0.178673504,0.021503497,0.021599018,-0.050395343,-0.058333055,0.052618645,0.011207276,-0.065857631,-0.05639072,-0.056513423,-0.021100158,0.075065066
GOURMAGS,0.41097549,0.002183658,0.137069338,0.506764278,-0.342302431,-0.217249396,,0.502897599,0.283683461,0.303636455,0.272962603,0.421140969,0.207209997,0.045540899,-0.004568543,-0.286062936,0.344353544,0.362071744,-0.005487864,0.379410573,0.362223166,0.390636992,0.375590503,0.424894869,0.407428984,0.411863762,0.197134411,0.575566354,-0.44560659,0.408252971,0.079477368,-0.058933655,0.123029846,0.120367732,-0.123962758,-0.004226806,0.135017436,0.116408172,0.138890621,-0.04403179,-0.153698459
WINEMAGS,0.221584876,-0.001290855,0.310529687,0.264021515,-0.203126921,-0.122305099,0.502897599,,0.147260575,0.156402968,0.144590501,0.281179347,0.361388077,0.08067493,0.006244623,-0.216906953,0.243096541,0.225947684,0.006687961,0.249142412,0.24325537,0.233661365,0.249562914,0.27710973,0.272557337,0.242785542,0.159964223,0.381852866,-0.273773401,0.397423439,0.13805517,-0.073336218,0.15452704,0.075232946,-0.10854698,-0.009583968,0.089211546,0.114708036,0.11934125,-0.03017736,-0.138094347
STYLMAGS,0.362207491,0.435965876,-0.000257998,0.481213985,-0.276748486,-0.155992435,0.283683461,0.147260575,,0.585440416,-0.054834901,0.224491892,0.074956264,0.005804726,0.001815673,-0.206568818,0.244657551,0.272602081,0.001817965,0.260894235,0.258618217,0.228223265,0.25928504,0.293587487,0.291416348,0.246438753,0.145903024,0.38251555,-0.25594182,0.216091994,0.030399093,-0.031393347,0.062509186,0.0635319,-0.062492878,-0.001704974,0.08255894,0.077650629,0.072657924,0.007730329,-0.064606645
HOUSMAGS,0.267591587,0.390781202,0.000695814,0.332192074,-0.235332272,-0.155848473,0.303636455,0.156402968,0.585440416,,-0.014042554,0.173494028,0.053665509,0.006149015,-0.002566693,-0.165658926,0.191550235,0.218194902,-0.002512777,0.21982305,0.207803513,0.235053078,0.220067425,0.248952786,0.235684692,0.252184361,0.11152621,0.339467844,-0.28633841,0.188206463,0.0136059,-0.031239325,0.040871874,0.075782749,-0.047523468,0.000826517,0.087780138,0.063897989,0.062370928,-0.021289445,-0.072856615
