CUSTID,AGE,AGEGRP1,AGEGRP2,AGEGRP3,AGEGRP4,AGEGRP5,AGEGRP6,SEX,EDUC,INCOME,INCGRP1,INCGRP2,INCGRP3,INCGRP4,INCGRP5,INCGRP6,KIDHOME,TEENHOME,GOURMAGS,WINEMAGS,STYLMAGS,HOUSMAGS,SPRTMAGS,TRAVMAGS,CULTMAGS,COMPMAGS,FIRSTPUR,LASTPUR,NPURCH,TBOTTLES,TOTCAT,TOTCREV,TOTCCOST,TOTCPROF,REV1STYR,REVLSTYR,COSTLAST,LTV,PROBSTAY,AVGPURCH,AVGDISC,AVGQUAL,PCTWEB,PERCDR,PERCSR,PERCDW,PERCSW,PERCDE,PERCEX,TOTLCOMP,DATELATE,TOTWCOMP,DATEWRNG,TOTPCOMM,DATELIKE,WINELOVR,WINEKNOW,COMPKNOW,KNOWALTW,STATUS,PARTIES,TRAVEL,CULTURAL,SATISWWW,TRUSTWWW,VALUEWWW,LOYALWWW,FACEBOOK,WINETAST
10001,27,0,1,0,0,0,0,0,19,30649,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,108,108,1,1,2,7.77,22.29,-14.52,7.77,7.77,22.04,-40.04,70,7.77,69,82,100,0,0,0,0,100,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10002,70,0,0,0,0,0,1,0,18,164417,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,1,301,85,9,20,4,551.81,447.7,104.11,551.81,551.81,445.45,298.33,70,61.31,0,90,100,35,20,0,35,10,25,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10003,31,0,1,0,0,0,0,0,16,29648,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1120,77,2,2,13,38.49,44.3,-5.81,15.62,22.87,31.3,-42.41,90,19.25,0,91,100,0,50,0,50,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10004,37,0,0,1,0,0,0,0,18,26188,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,667,667,1,1,8,19.61,26.69,-7.08,19.61,0,8,-22.44,70,19.61,0,84,0,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10005,48,0,0,0,1,0,0,0,15,130141,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1275,0,56,93,15,3298.29,2742.33,555.96,897.79,1159.21,944.08,1082.29,90,58.9,2,100,100,52,30,11,4,3,12,1,498,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10006,60,0,0,0,0,1,0,1,17,149972,0,0,0,0,0,1,0,0,1,0,2,0,0,2,1,0,123,123,1,2,2,69.34,60.48,8.86,69.34,69.34,57.48,33.27,70,69.34,0,100,0,0,100,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10007,67,0,0,0,0,0,1,0,20,107571,0,0,0,0,1,0,0,0,2,2,1,0,0,1,1,1,1196,175,12,22,14,876.64,718.32,158.32,176.8,183.04,160.43,113.75,90,73.05,0,99,100,59,23,0,9,9,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10008,60,0,0,0,0,1,0,0,12,131288,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1015,7,42,93,12,3121.77,2632.68,489.09,707.66,1376.5,1113.22,1324.55,90,74.33,0,99,2,52,28,13,5,2,15,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10009,56,0,0,0,0,1,0,1,20,75083,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,721,721,1,1,8,7.77,28.29,-20.52,7.77,0,8,-22.44,70,7.77,69,82,100,0,0,0,0,100,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10010,74,0,0,0,0,0,1,1,20,83762,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,253,223,2,3,3,95.63,104.07,-8.44,95.63,95.63,103.57,-22.26,70,47.82,17,100,100,33,67,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
